City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Lorengau,PG,-2.0226,147.2712,85.23,62,21,10.18,few clouds
119,Caravelas,BR,-17.7125,-39.2481,71.73,82,100,9.13,overcast clouds
120,Dingle,PH,10.9995,122.6711,77.0,93,100,7.31,overcast clouds
121,Shumskiy,RU,54.8318,99.1328,34.65,99,100,5.39,snow
122,Marzuq,YE,14.4,46.4667,76.24,46,31,3.02,scattered clouds
123,Bahadurganj,IN,26.2667,87.8167,73.92,97,100,4.79,overcast clouds
124,Benghazi,LY,32.1167,20.0667,75.43,58,0,5.77,clear sky
125,Zaraza,VE,9.3503,-65.3245,75.22,91,85,4.05,overcast clouds
126,Inhambane,MZ,-23.865,35.3833,70.84,90,0,8.95,clear sky
127,Brae,GB,60.3964,-1.353,46.72,76,71,24.79,broken clouds
128,Saint George,US,37.1041,-113.5841,93.94,12,0,4.0,clear sky
129,Uvinza,TZ,-5.1036,30.3911,74.59,43,82,3.31,broken clouds
130,Longyearbyen,SJ,78.2186,15.6401,38.8,96,100,7.83,overcast clouds
131,Wuda,CN,39.4994,106.7117,63.01,39,0,6.62,clear sky
132,Ilulissat,GL,69.2167,-51.1,37.42,56,100,3.44,overcast clouds
133,Marneuli,GE,41.4759,44.8089,52.54,69,0,2.64,clear sky
134,Puerto Ayora,EC,-0.7393,-90.3518,69.76,95,100,7.0,overcast clouds
135,Kavieng,PG,-2.5744,150.7967,84.83,68,12,11.65,few clouds
136,Hovd,MN,48.0056,91.6419,52.11,38,20,8.95,few clouds
137,Saskylakh,RU,71.9167,114.0833,32.02,78,100,16.55,overcast clouds
138,Sechelt,CA,49.4664,-123.7694,79.32,55,14,5.35,few clouds
139,Atlantic City,US,39.3643,-74.4229,71.02,86,0,8.05,clear sky
140,Gedo,ET,9.0167,37.45,49.42,93,97,1.36,overcast clouds
141,Bilma,NE,18.6853,12.9164,91.09,13,16,6.04,few clouds
142,Nikolskoye,RU,59.7035,30.7861,46.29,95,100,0.56,overcast clouds
143,Iqaluit,CA,63.7506,-68.5145,33.53,80,20,4.61,few clouds
144,Shelburne,CA,44.0787,-80.2041,52.59,97,87,7.43,overcast clouds
145,Coracora,PE,-15.0333,-73.7833,45.03,29,0,1.7,clear sky
146,Provideniya,RU,64.3833,-173.3,41.36,75,75,11.18,broken clouds
147,Lebu,CL,-37.6167,-73.65,48.78,86,88,8.39,overcast clouds
148,East London,ZA,-33.0153,27.9116,65.44,75,74,8.23,broken clouds
149,Kruisfontein,ZA,-34.0033,24.7314,56.88,90,100,4.27,light rain
150,North Bend,US,43.4065,-124.2243,76.24,88,75,6.91,mist
151,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,20,8.05,light rain
152,Bonavista,CA,48.6499,-53.1147,54.0,73,92,21.0,overcast clouds
153,Buraydah,SA,26.326,43.975,75.65,34,1,8.03,clear sky
154,Biltine,TD,14.5333,20.9167,85.5,31,80,2.86,broken clouds
155,Calama,CL,-22.4667,-68.9333,54.09,8,0,6.91,clear sky
156,Pangkalanbuun,ID,-2.6833,111.6167,77.76,90,100,2.8,overcast clouds
157,San Policarpo,PH,12.1791,125.5072,77.43,89,100,5.46,overcast clouds
158,Nouadhibou,MR,20.931,-17.0347,78.78,94,14,2.3,few clouds
159,High Rock,BS,26.6208,-78.2833,80.62,73,3,11.07,clear sky
160,Vardo,NO,70.3705,31.1107,44.58,87,6,9.22,clear sky
161,Ulladulla,AU,-35.35,150.4667,60.96,60,99,3.83,light rain
162,Tshikapa,CD,-6.4167,20.8,71.47,83,98,2.75,overcast clouds
163,Merauke,ID,-8.4667,140.3333,82.8,78,97,10.56,overcast clouds
164,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,38,9.17,scattered clouds
165,Fortuna,US,40.5982,-124.1573,68.09,81,14,5.75,few clouds
166,Lakes Entrance,AU,-37.8811,147.981,62.17,60,99,5.32,overcast clouds
167,Cedar Falls,US,42.5278,-92.4455,66.22,38,0,17.27,clear sky
168,Chiredzi,ZW,-21.05,31.6667,69.37,48,0,5.3,clear sky
169,Lagoa,PT,39.05,-27.9833,70.38,67,60,21.32,broken clouds
170,Kavaratti,IN,10.5669,72.642,81.45,74,52,14.99,broken clouds
171,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,light rain
172,Hammerfest,NO,70.6634,23.6821,48.65,71,8,10.36,clear sky
173,Talnakh,RU,69.4865,88.3972,24.21,75,44,2.8,scattered clouds
174,Amuntai,ID,-2.4177,115.2494,78.06,78,97,0.34,overcast clouds
175,Faanui,PF,-16.4833,-151.75,77.74,77,19,17.09,light rain
176,Arica,CL,-18.475,-70.3042,59.23,72,0,6.91,clear sky
177,Kabalo,CD,-6.05,26.9167,73.26,68,71,2.28,broken clouds
178,Dzaoudzi,YT,-12.7887,45.2699,75.09,88,75,3.44,broken clouds
179,Benguela,AO,-12.5763,13.4055,69.94,84,94,3.27,overcast clouds
180,Copperas Cove,US,31.1241,-97.9031,91.08,39,20,6.91,few clouds
181,Lircay,PE,-12.9896,-74.7205,47.55,78,87,4.88,overcast clouds
182,Mendi,PG,-6.1761,143.6513,70.65,43,75,2.08,broken clouds
183,Maragogi,BR,-9.0122,-35.2225,74.64,79,5,8.7,clear sky
