City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Banes,CU,2022-09-22 19:13:54,20.9625,-75.7186,92.19,48,73,6.53
119,Vao,NC,2022-09-22 19:13:55,-22.6667,167.4833,71.28,77,97,15.82
120,Chimore,BO,2022-09-22 19:13:55,-16.9833,-65.1333,68.18,75,100,4.07
121,Cap Malheureux,MU,2022-09-22 19:13:56,-19.9842,57.6142,72.46,73,2,8.99
122,Tomohon,ID,2022-09-22 19:13:56,1.3346,124.8392,65.34,91,79,1.88
123,Oktyabrskiy,RU,2022-09-22 19:13:56,54.4815,53.471,63.95,29,100,4.94
124,Vrable,SK,2022-09-22 19:09:03,48.2437,18.3085,53.69,68,28,7.34
125,Pisco,PE,2022-09-22 19:13:57,-13.7,-76.2167,68.05,60,0,19.57
126,Provideniya,RU,2022-09-22 19:13:57,64.3833,-173.3,43.07,93,100,1.83
127,Qurayyat,SA,2022-09-22 19:13:57,31.3318,37.3428,73.58,43,0,9.22
128,Tual,ID,2022-09-22 19:13:58,-5.6667,132.75,80.73,77,74,8.01
129,Leningradskiy,RU,2022-09-22 19:13:58,69.3833,178.4167,37.04,96,100,22.28
130,Copiapo,CL,2022-09-22 19:13:59,-27.3667,-70.3333,60.49,15,0,10.8
131,Buin,CL,2022-09-22 19:13:59,-33.7333,-70.75,71.92,26,100,6.91
132,Castro,BR,2022-09-22 19:15:00,-24.7911,-50.0119,60.03,77,87,11.48
133,Northam,GB,2022-09-22 19:15:00,51.0333,-4.2167,61.39,95,100,13.33
134,Hilo,US,2022-09-22 19:15:01,19.7297,-155.09,83.62,72,20,8.99
135,Auki,SB,2022-09-22 19:15:02,-8.7676,160.7034,74.77,89,47,4.32
136,Roald,NO,2022-09-22 19:15:02,62.5833,6.1333,59.76,77,75,10.36
137,Clyde River,CA,2022-09-22 19:15:03,70.4692,-68.5914,30.43,74,20,4.61
138,Zhezkazgan,KZ,2022-09-22 19:15:03,47.8043,67.7144,68.97,34,0,9.19
139,Fortuna,US,2022-09-22 19:15:04,40.5982,-124.1573,70.93,73,0,1.99
140,Adrar,MR,2022-09-22 19:15:04,20.5022,-10.0711,94.42,31,17,10.98
141,Cidreira,BR,2022-09-22 19:15:05,-30.1811,-50.2056,61.95,75,2,21.54
142,Thompson,CA,2022-09-22 19:13:06,55.7435,-97.8558,62.76,45,20,18.41
143,Dikson,RU,2022-09-22 19:15:06,73.5069,80.5464,29.57,85,100,24.23
144,Constitucion,CL,2022-09-22 19:15:06,-35.3333,-72.4167,59.95,65,82,18.54
145,Albany,US,2022-09-22 19:10:31,42.6001,-73.9662,67.17,71,14,1.99
146,Shimanovsk,RU,2022-09-22 19:15:08,52.0,127.7,45.27,96,100,7.11
147,Faanui,PF,2022-09-22 19:15:08,-16.4833,-151.75,78.39,74,5,18.21
148,Norman Wells,CA,2022-09-22 19:15:08,65.282,-126.8329,46.44,87,75,4.61
149,Narsaq,GL,2022-09-22 19:15:09,60.9167,-46.05,46.62,83,100,3.56
150,Hualmay,PE,2022-09-22 19:15:09,-11.0964,-77.6139,66.06,69,96,11.83
151,Kozhva,RU,2022-09-22 19:15:10,65.1073,57.0459,41.97,83,100,7.25
152,Okha,RU,2022-09-22 19:15:11,53.5739,142.9478,48.13,81,100,9.28
153,Mehran,IR,2022-09-22 19:15:11,33.1222,46.1646,91.53,18,4,8.12
154,Beohari,IN,2022-09-22 19:15:12,24.05,81.3833,73.17,94,52,5.75
155,Azul,AR,2022-09-22 19:13:08,-36.777,-59.8585,57.34,47,97,9.53
156,Lata,PT,2022-09-22 19:15:12,40.1629,-8.3327,70.92,67,9,2.93
157,Abha,SA,2022-09-22 19:15:05,18.2164,42.5053,69.62,64,40,0.0
158,Takaka,NZ,2022-09-22 19:15:13,-40.85,172.8,51.91,76,100,9.69
159,Palembang,ID,2022-09-22 19:15:13,-2.9167,104.7458,75.29,100,20,0.0
160,Port Hardy,CA,2022-09-22 19:15:14,50.6996,-127.4199,53.78,94,40,2.3
161,Saint George,US,2022-09-22 19:10:18,37.1041,-113.5841,86.79,37,20,6.91
162,Manakara,MG,2022-09-22 19:15:15,-22.1333,48.0167,67.12,86,5,5.03
163,Luena,AO,2022-09-22 19:15:16,-11.7833,19.9167,72.55,39,99,2.53
164,Jumla,NP,2022-09-22 19:15:17,29.2747,82.1838,58.53,91,100,2.44
165,Laguna,US,2022-09-22 19:11:10,38.421,-121.4238,79.29,52,0,14.97
166,Tuktoyaktuk,CA,2022-09-22 19:15:18,69.4541,-133.0374,35.6,93,100,8.05
167,Ichinohe,JP,2022-09-22 19:15:18,40.2069,141.3017,61.36,98,100,2.44
168,Pacific Grove,US,2022-09-22 19:13:30,36.6177,-121.9166,78.39,72,0,11.01
169,Porto Velho,BR,2022-09-22 19:15:19,-8.7619,-63.9039,96.85,36,40,8.05
170,Ulaangom,MN,2022-09-22 19:15:19,49.9811,92.0667,49.39,57,3,1.36
171,Jamestown,US,2022-09-22 19:15:20,42.097,-79.2353,58.59,76,100,14.97
172,Masterton,NZ,2022-09-22 19:15:21,-40.9597,175.6575,55.89,99,100,9.98
173,Bronderslev,DK,2022-09-22 19:15:21,57.2702,9.941,54.9,80,100,7.18
174,Cabra,ES,2022-09-22 19:15:22,37.4725,-4.4421,76.48,43,0,3.31
175,Guerrero Negro,MX,2022-09-22 19:15:22,27.9769,-114.0611,81.3,55,13,9.06
176,Petrokamenskoye,RU,2022-09-22 19:15:23,57.716,60.6484,53.37,76,100,3.74
177,Gazanjyk,TM,2022-09-22 19:15:23,39.2446,55.5154,81.32,14,0,11.32
178,Bichura,RU,2022-09-22 19:16:24,50.5881,107.6022,41.18,57,85,5.53
179,Cabo San Lucas,MX,2022-09-22 19:14:51,22.8909,-109.9124,91.62,70,20,6.91
180,Bogotol,RU,2022-09-22 19:16:24,56.2078,89.5342,54.93,80,100,15.77
181,Vila Franca Do Campo,PT,2022-09-22 19:16:25,37.7167,-25.4333,75.61,75,86,2.26
182,Panama City,PA,2022-09-22 19:16:25,8.9936,-79.5197,84.43,81,40,11.5
183,Beringovskiy,RU,2022-09-22 19:16:26,63.05,179.3167,39.13,93,100,7.31
184,San Andres,CO,2022-09-22 19:16:26,12.5847,-81.7006,84.22,79,75,6.91
185,Rawlins,US,2022-09-22 19:16:27,41.7911,-107.2387,57.09,72,75,14.97
186,Axim,GH,2022-09-22 19:16:28,4.8699,-2.2405,75.4,90,52,5.86
187,Promyshlennyy,RU,2022-09-22 19:16:28,67.5833,63.9167,34.32,83,98,19.06
188,Bathsheba,BB,2022-09-22 19:16:29,13.2167,-59.5167,88.41,70,40,12.66
189,Shu,KZ,2022-09-22 19:16:29,43.5983,73.7614,71.31,23,0,7.76
190,Atuntaqui,EC,2022-09-22 19:16:30,0.3333,-78.2167,69.75,49,84,5.66
191,Ust-Kan,RU,2022-09-22 19:16:30,50.9276,84.761,47.66,74,0,1.52
192,Grindavik,IS,2022-09-22 19:16:30,63.8424,-22.4338,48.15,87,75,17.27
193,Upernavik,GL,2022-09-22 19:16:31,72.7868,-56.1549,32.7,62,100,2.82
194,Bud,US,2022-09-22 19:16:31,39.447,-86.1758,70.88,48,40,15.82
195,Svetlyy,RU,2022-09-22 19:16:32,54.675,20.1347,52.97,75,100,7.23
196,Saint-Francois,FR,2022-09-22 19:16:32,46.4154,3.9054,53.04,62,0,0.0
197,Elizabeth City,US,2022-09-22 19:16:32,36.2946,-76.2511,93.99,49,0,14.97
198,Luba,GQ,2022-09-22 19:16:33,3.4568,8.5547,78.69,86,100,4.76
199,Saldanha,ZA,2022-09-22 19:16:33,-33.0117,17.9442,57.92,78,100,10.49
200,Souillac,MU,2022-09-22 19:16:33,-20.5167,57.5167,71.98,83,75,13.8
201,Port Alfred,ZA,2022-09-22 19:16:34,-33.5906,26.891,63.18,87,1,8.01
202,Muros,ES,2022-09-22 19:16:34,42.7762,-9.0603,64.83,84,67,6.49
203,Heiligenhafen,DE,2022-09-22 19:16:35,54.3667,10.9833,50.76,80,97,11.34
