City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Charlottesville,US,69.08,overcast clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
395,Faya,SA,63.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
404,Ergani,TR,59.25,clear sky,38.2653,39.7621,Serkan Hotel
405,Yuci,CN,53.35,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
406,Matagami,CA,53.71,light rain,49.7502,-77.6328,Motel Le Caribou
409,Te Anau,NZ,60.93,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
410,Broome,US,59.7,scattered clouds,42.2506,-75.833,Chenango Valley State Park
412,Marinette,US,54.09,moderate rain,45.1,-87.6307,AmericInn by Wyndham Menominee
413,Valley Stream,US,68.29,scattered clouds,40.6643,-73.7085,Robert Miller Associates
419,Armacao De Pera,PT,64.31,clear sky,37.1026,-8.357,VILA VITA Parc Resort & Spa
421,Piopio,NZ,64.2,broken clouds,-38.4667,175.0167,"Fat Owl Motel, Bar & Eatery"
423,Timizart,DZ,67.64,overcast clouds,36.8,4.2667,TOUATI LOTFI
427,Parkes,AU,52.61,light rain,-33.1333,148.1833,Station Motel
428,Dunedin,NZ,53.8,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
429,Fort Nelson,CA,62.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
430,Kyrylivka,UA,61.32,overcast clouds,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
431,Hamilton,US,66.58,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
434,Taltal,CL,60.48,clear sky,-25.4,-70.4833,Residencial Karime
435,Rocha,UY,55.38,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
437,Yuzhno-Kurilsk,RU,64.45,overcast clouds,44.0306,145.8556,Guesthouse Berloga
439,Kenai,US,55.45,few clouds,60.5544,-151.2583,Aspen Extended Stay Suites
440,Chibuto,MZ,68.92,clear sky,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
442,Chippewa Falls,US,61.57,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
449,Devils Lake,US,60.78,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
450,Saurimo,AO,66.25,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
452,Volkach,DE,53.33,broken clouds,49.8667,10.2333,Hotel Turmdieb
454,Westport,US,68.09,clear sky,41.1415,-73.3579,The Westport Inn
455,Rio Branco Do Sul,BR,52.12,overcast clouds,-25.19,-49.3142,DR Hotel Rio Branco do Sul
457,Dongsheng,CN,61.86,clear sky,39.8161,109.9776,Crowne Plaza Ordos
462,Hay River,CA,58.98,smoke,60.8156,-115.7999,Ptarmigan Inn
470,Zielona Gora,PL,51.96,few clouds,51.9355,15.5064,Ruben Hotel
471,Beian,NO,52.02,light rain,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
472,Sorland,NO,53.46,few clouds,67.667,12.6934,Sjybrygga fiskecamp
474,Lata,PT,57.92,clear sky,40.1629,-8.3327,Casa Maquia
476,Sankeshwar,IN,69.44,broken clouds,16.2667,74.4833,Rajdhani Hotel
479,Mikhaylovskoye,RU,53.33,broken clouds,51.8239,79.7172,"Terem"""
481,Huarmey,PE,62.02,broken clouds,-10.0681,-78.1522,Hotel Miramar
